"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","22pF","~","Capacitor_SMD:C_1206_3216Metric","2",""
"C3,C5,C8","10uF","~","Capacitor_SMD:C_1206_3216Metric","3",""
"C4,C6,C7,C9,C10","0.1uF","~","Capacitor_SMD:C_1206_3216Metric","5",""
"D4","IMU_TX","~","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"D5","IMU_RX","~","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"D6","MTR_TX","~","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"D7","MTR_RX","~","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"HUB1","HUB_PWR","~","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"IMU1","USB_1","~","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"J1","USB_IN","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J2","IMU","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J3","MINI_FUSE","http://www.keyelco.com/product-pdf.cfm?p=296","humanoid:MINI_FUSE","1",""
"J4","Motors","","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","1",""
"MTRS1","USB_2","~","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"R1","2K7","~","Resistor_SMD:R_1206_3216Metric","1",""
"R2,R3,R4","330","~","Resistor_SMD:R_1206_3216Metric","3",""
"R5","47K","~","Resistor_SMD:R_1206_3216Metric","1",""
"R6","100K","~","Resistor_SMD:R_1206_3216Metric","1",""
"R7","10K","~","Resistor_SMD:R_1206_3216Metric","1",""
"R8,R9,R10,R11","270","~","Resistor_SMD:R_1206_3216Metric","4",""
"R12,R14","680","~","Resistor_SMD:R_1206_3216Metric","2",""
"R13","120","~","Resistor_SMD:R_1206_3216Metric","1",""
"U1","FE1.1s","https://cdn-shop.adafruit.com/product-files/2991/FE1.1s+Data+Sheet+(Rev.+1.0).pdf","Package_SO:SSOP-28_3.9x9.9mm_P0.635mm","1",""
"U2,U3","FT232RL","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","2",""
"U4","MAX485E","https://datasheets.maximintegrated.com/en/ds/MAX1487E-MAX491E.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"Y1","Crystal","~","components:ECS120185PXGMTR","1",""
